Metadata_is_control	Metadata_gene_name	clique_id	mp_value	cell_line	barcode_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	MCL1	1	0.004995004995004995	HCC44	cutting_control
0	AKT1	2	0.012987012987012988	HCC44	cutting_control
0	KRAS	3	0.000999000999000999	HCC44	cutting_control
0	AKT1	2	0.012987012987012988	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	BRAF1	4	0.08591408591408592	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	BRAF	5	0.01898101898101898	HCC44	cutting_control
0	MYC	6	0.000999000999000999	HCC44	cutting_control
0	BRD4	7	0.000999000999000999	HCC44	cutting_control
0	MYC	6	0.000999000999000999	HCC44	cutting_control
0	BRD4	7	0.000999000999000999	HCC44	cutting_control
0	MCL1	1	0.004995004995004995	HCC44	cutting_control
0	CDK4	8	0.004995004995004995	HCC44	cutting_control
0	BCL2L2	9	0.012987012987012988	HCC44	cutting_control
0	CDK4	8	0.004995004995004995	HCC44	cutting_control
0	MAPK1	10	0.002997002997002997	HCC44	cutting_control
0	CHEK2	11	0.006993006993006993	HCC44	cutting_control
0	MAPK1	10	0.002997002997002997	HCC44	cutting_control
0	CHEK2	11	0.006993006993006993	HCC44	cutting_control
0	KRAS	3	0.000999000999000999	HCC44	cutting_control
0	CSNK1A1	12	0.000999000999000999	HCC44	cutting_control
0	KRAS	3	0.000999000999000999	HCC44	cutting_control
0	PPIB	13	0.000999000999000999	HCC44	cutting_control
0	POLR2D	14	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	PSMA1	15	0.000999000999000999	HCC44	cutting_control
0	PSMA1	15	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	ORC4	16	0.08791208791208792	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	PPIB	13	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	CSNK1A1	12	0.000999000999000999	HCC44	cutting_control
0	HIF1a	17	0.005994005994005994	HCC44	cutting_control
0	CTNNB1	18	0.002997002997002997	HCC44	cutting_control
0	HIF1a	17	0.005994005994005994	HCC44	cutting_control
0	CTNNB1	18	0.002997002997002997	HCC44	cutting_control
0	GPX4	19	0.07092907092907093	HCC44	cutting_control
0	DOT1L	20	0.003996003996003996	HCC44	cutting_control
0	GPX4	19	0.07092907092907093	HCC44	cutting_control
0	DOT1L	20	0.003996003996003996	HCC44	cutting_control
0	GLS	21	0.005994005994005994	HCC44	cutting_control
0	EGFR	22	0.007992007992007992	HCC44	cutting_control
0	GLS	21	0.005994005994005994	HCC44	cutting_control
0	EGFR	22	0.007992007992007992	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	ERBB3	23	0.013986013986013986	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	ERBB3	23	0.013986013986013986	HCC44	cutting_control
0	ERBB2	24	0.005994005994005994	HCC44	cutting_control
0	ITGAV	25	0.000999000999000999	HCC44	cutting_control
0	ERBB2	24	0.005994005994005994	HCC44	cutting_control
0	ITGAV	25	0.000999000999000999	HCC44	cutting_control
0	EGLN1	26	0.000999000999000999	HCC44	cutting_control
0	JAK3	27	0.004995004995004995	HCC44	cutting_control
0	EGLN1	26	0.000999000999000999	HCC44	cutting_control
0	PPIB	13	0.000999000999000999	HCC44	cutting_control
0	POLR2D	14	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	PSMA1	15	0.000999000999000999	HCC44	cutting_control
0	PSMA1	15	0.000999000999000999	HCC44	cutting_control
0	PRDX1	28	0.052947052947052944	HCC44	cutting_control
0	ORC4	16	0.08791208791208792	HCC44	cutting_control
0	PRDX1	28	0.052947052947052944	HCC44	cutting_control
0	YAP1	29	0.005994005994005994	HCC44	cutting_control
0	YAP1	29	0.005994005994005994	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	PPIB	13	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	JAK3	27	0.004995004995004995	HCC44	cutting_control
0	COX5B	30	0.000999000999000999	HCC44	cutting_control
0	KIF11	31	0.000999000999000999	HCC44	cutting_control
0	COX5B	30	0.000999000999000999	HCC44	cutting_control
0	KIF11	31	0.000999000999000999	HCC44	cutting_control
0	CDK2	32	0.000999000999000999	HCC44	cutting_control
0	MTOR	33	0.000999000999000999	HCC44	cutting_control
0	CDK2	32	0.000999000999000999	HCC44	cutting_control
0	MTOR	33	0.000999000999000999	HCC44	cutting_control
0	CCNE1	34	0.000999000999000999	HCC44	cutting_control
0	PIK3CA	35	0.003996003996003996	HCC44	cutting_control
0	CCNE1	34	0.000999000999000999	HCC44	cutting_control
0	PIK3CA	35	0.003996003996003996	HCC44	cutting_control
0	CCND1	36	0.005994005994005994	HCC44	cutting_control
0	RAC1	37	0.01898101898101898	HCC44	cutting_control
0	CCND1	36	0.005994005994005994	HCC44	cutting_control
0	RAC1	37	0.01898101898101898	HCC44	cutting_control
0	BRCA1	38	0.001998001998001998	HCC44	cutting_control
0	RHOA	39	0.000999000999000999	HCC44	cutting_control
0	BRCA1	38	0.001998001998001998	HCC44	cutting_control
0	RHOA	39	0.000999000999000999	HCC44	cutting_control
0	BCL2L2	9	0.012987012987012988	HCC44	cutting_control
0	SDHB	40	0.000999000999000999	HCC44	cutting_control
0	BCL2L2	9	0.012987012987012988	HCC44	cutting_control
0	POLR2D	14	0.000999000999000999	HCC44	cutting_control
0	EMPTY	0	0.000999000999000999	HCC44	cutting_control
0	PPIB	13	0.000999000999000999	HCC44	cutting_control
0	ORC4	16	0.08791208791208792	HCC44	cutting_control
0	ORC4	16	0.08791208791208792	HCC44	cutting_control
0	RAF1	41	0.03696303696303696	HCC44	cutting_control
0	RAF1	41	0.03696303696303696	HCC44	cutting_control
